country,pop,urb,gdp,dist,hf,pf,ef,date_first,detection,status,cumul,air,datetime,cases,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,china_start,start_date,corona_converge_days
Guinea,12414318,36.14,2504.86974463305,11454618.364191,5.61,5.36542174373669,5.86,75,57.2,1,141965,58.5,2020-05-27,83,8.96545255,2019-12-30,2020-03-14,74
Guinea-Bissau,1874309,43.36,1799.06789098093,11661098.5241841,6.07,6.90466463590915,5.23,88,23.4,1,525355,20.4,2020-05-13,59,38.88767708,2019-12-30,2020-03-27,47
Guyana,779004,26.606,8640.73737016211,15092263.5318895,6.74,7.16082174225842,6.32,74,20.3,1,132534,26.07,2020-07-06,1,11.36980614,2019-12-30,2020-03-13,115
Haiti,11123176,55.278,1866.61758904114,13850460.4521941,6.71,6.93377391161417,6.49,81,48.3,1,241052,,2020-06-12,145,22.17866003,2019-12-30,2020-03-20,84
Honduras,9587522,57.096,5138.75245733876,14212665.1562428,6.81,6.46586770578445,7.16,73,27.7,1,124464,411.99,2020-07-08,763,117.84182723,2019-12-30,2020-03-12,118
Hungary,9768785,71.351,31102.5027541193,6762925.20479092,7.65,8.0370083846272,7.27,66,55.5,1,94366,31226.85,2020-04-23,116,13.34321659,2019-12-30,2020-03-05,49
Iceland,353574,93.813,57303.060783165,7695515.51171913,8.41,9.08463423152466,7.74,61,37.2,1,84456,7819.74,2020-04-03,99,277.03779647,2019-12-30,2020-02-29,34
India,1352617328,34.03,7762.88176956734,2777278.32271492,6.64,6.36884418459407,6.91,31,47.4,1,7815,164035.64,2020-07-12,28637,23.46968916,2019-12-30,2020-01-30,164
Indonesia,267663435,55.325,13079.619296594,4514121.12060936,6.83,6.38463446010515,7.27,63,68.1,1,88313,115154.1,2020-07-12,1671,7.83591892,2019-12-30,2020-03-02,132
Iran,81800269,74.898,21011.3,4518494.36745003,5.1,4.48283671527307,5.72,52,37.7,1,75078,25604.87,2020-04-08,2089,45.56293117,2019-12-30,2020-02-20,48
Iraq,38433600,70.473,17435.8539331446,5421665.47019866,4.34,3.4678361651784,5.21,57,42.2,1,79410,2075.07,2020-07-12,2734,81.23167489,2019-12-30,2020-02-25,138
Ireland,4853506,63.17,83203.3946770927,8108624.01899954,8.52,8.90437742815292,8.13,62,78.0,1,86276,167598.63,2020-04-23,631,213.01975434,2019-12-30,2020-03-01,53
Israel,8883800,92.418,39919.1696489174,6247521.21059371,7.61,7.69532296513965,7.53,54,52.4,1,77144,7404.37,2020-07-12,1197,164.82433625,2019-12-30,2020-02-22,141
Italy,60431283,70.438,41830.4263276444,7496778.45661309,8.04,8.66515242820854,7.41,32,78.5,1,9817,27630.44,2020-04-02,4782,124.02512106,2019-12-30,2020-01-31,62
