country,pop,urb,gdp,dist,hf,pf,ef,date_first,detection,status,cumul,air,datetime,cases,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,china_start,start_date,corona_converge_days
Niger,22442948,16.425,1063.42184074385,9261429.76619898,5.87,5.91613232173248,5.83,82,44.4,1,269677,14.71,2020-04-15,22,2.35942958,2019-12-30,2020-03-21,25
Nigeria,195874740,50.344,5990.85043229634,9889816.49626111,6.38,5.89766701868781,6.86,60,44.6,1,82624,8169.19,2020-07-02,790,4.35352465,2019-12-30,2020-02-28,125
Macedonia,2082958,57.963,16358.6620491976,6851848.64403426,7.34,7.66243974016606,7.02,59,41.7,1,81363,86.87,2020-06-21,185,100.52322144,2019-12-30,2020-02-27,115
Norway,5314336,82.248,65510.5852742471,6208683.74387162,8.44,9.25962464036024,7.62,59,58.6,1,81363,12277.22,2020-04-05,302,67.26459082,2019-12-30,2020-02-27,38
Oman,4829483,84.539,41859.934476789,4935610.65208251,5.98,5.19833155245076,6.76,57,41.1,1,79410,10438.24,2020-07-12,1083,356.66389011,2019-12-30,2020-02-25,138
Pakistan,212215030,36.666,5567.05560794386,3277290.27347384,5.69,5.47181089613446,5.91,59,41.7,1,81363,6880.64,2020-06-20,6604,35.87047136,2019-12-30,2020-02-27,114
Panama,4176873,67.709,25553.6967088531,14998127.3558692,7.69,7.72463865534956,7.66,71,44.6,1,113067,12939.35,2020-07-12,1075,322.01090796,2019-12-30,2020-03-10,124
Papua New Guinea,8606316,13.169,4336.24465709437,6425499.37516532,6.6,6.84167136660279,6.36,82,31.8,1,269677,964.71,2020-04-30,0,0.06836735,2019-12-30,2020-03-21,40
Paraguay,6956071,61.585,13599.9265632594,17759627.3500171,6.9,6.77810528274612,7.03,69,34.6,1,104776,560.63,2020-07-08,46,15.33080687,2019-12-30,2020-03-08,122
Peru,31989256,77.907,14418.070667873,16963023.9911288,7.55,7.61269642489826,7.49,68,38.3,1,101122,17758.13,2020-06-08,4757,235.48111989,2019-12-30,2020-03-07,93
Philippines,106651922,46.907,8951.08565366152,3345564.70661504,6.88,6.44299746233217,7.32,31,63.6,1,7815,43080.12,2020-07-12,1308,17.961160500000002,2019-12-30,2020-01-30,164
Poland,37978548,60.058,31336.6034966686,6554245.45272549,7.78,8.32387978230488,7.24,65,61.7,1,92122,9277.54,2020-06-18,506,16.60661844,2019-12-30,2020-03-04,106
Portugal,10281762,65.211,33415.4379006894,9111056.08968597,8.27,9.01657667129864,7.52,64,50.5,1,89882,17367.96,2020-04-11,1516,109.02420514,2019-12-30,2020-03-03,39
Qatar,2781677,99.135,126898.425931605,5117748.16977587,6.15,5.23826730832533,7.07,62,32.7,1,86276,29178.92,2020-06-05,1581,885.92411702,2019-12-30,2020-03-01,96
Romania,19473936,53.998,28206.3570497561,6422258.72198512,8.11,8.5365258738327,7.68,59,42.8,1,81363,4908.23,2020-07-12,698,31.19839864,2019-12-30,2020-02-27,136
Russia,144478050,74.433,27588.1254398177,2870579.49744144,6.34,5.89988105621619,6.78,64,34.1,1,89882,99327.31,2020-05-16,10598,101.74107126,2019-12-30,2020-03-03,74
Rwanda,12301939,17.211,2251.55638843363,8713401.73363181,6.82,6.37769312449132,7.26,76,36.0,1,153747,1073.53,2020-07-12,47,3.33414166,2019-12-30,2020-03-15,119
Saudi Arabia,33699947,83.844,55335.6795892271,5774072.23434602,5.42,4.31647822871454,6.52,64,74.4,1,89882,39141.66,2020-06-23,3393,162.60400322,2019-12-30,2020-03-03,112
Senegal,15854360,47.192,3782.53861264405,11443238.9662225,6.57,6.97279888034145,6.17,64,35.1,1,89882,21.04,2020-07-03,129,9.68927912,2019-12-30,2020-03-03,122
Serbia,6982084,56.092,17434.916125391,6796232.99422646,7.3,7.71422199245695,6.89,68,46.2,1,101122,2262.7,2020-04-23,224,63.87350289,2019-12-30,2020-03-07,47
Seychelles,96762,56.691,30557.0757169393,7212932.15307802,7.16,7.15851310240027,7.16,76,33.4,1,153747,455.2,2020-07-12,0,91.05697711,2019-12-30,2020-03-15,119
Sierra Leone,7650154,42.055,1601.97402885788,11661882.8379584,5.99,6.27249362311096,5.71,93,45.8,1,847716,50.19,2020-05-27,19,5.32431817,2019-12-30,2020-04-01,56
Singapore,5638676,100.0,101531.630228067,3897577.85056707,8.11,7.50245192887453,8.71,25,64.5,1,896,40401.51,2020-05-02,932,207.62039735,2019-12-30,2020-01-24,99
Slovakia,5447011,53.726,33736.400937172,6689843.07254409,8.02,8.53528491249018,7.51,68,46.0,1,101122,7.92,2020-04-20,72,12.40271164,2019-12-30,2020-03-07,44
Slovenia,2067372,54.541,38048.7846591976,7130369.26777061,7.97,8.78384612812908,7.15,66,73.7,1,94366,1094.76,2020-04-05,43,28.54523122,2019-12-30,2020-03-05,31
South Africa,57779622,66.355,13686.8823613158,10964149.6597965,7.08,7.55235700840061,6.61,67,81.5,1,97277,23291.75,2020-07-12,13497,226.07226406,2019-12-30,2020-03-06,128
South Korea,51635256,81.459,40111.7757574615,2146565.9255909,8.2,8.81416477480431,7.59,21,92.1,1,239,88157.88,2020-03-10,131,12.92524843,2019-12-30,2020-01-20,50
Spain,46723749,80.321,39715.4390594866,8741360.08186022,8.12,8.6861161717898,7.55,33,83.0,1,11936,80672.1,2020-04-05,5533,217.55729907,2019-12-30,2020-02-01,64
Sri Lanka,21670000,18.476,13473.6630942698,3971847.4927606,6.41,6.24585116960426,6.57,29,43.0,1,4580,5882.38,2020-06-05,48,3.47969075,2019-12-30,2020-01-28,129
Sudan,41801533,34.642,4767.68982660282,7544969.3482824,4.32,3.96653441557575,4.67,75,7.0,1,141965,269.96,2020-05-31,279,6.62411955,2019-12-30,2020-03-14,78
Suriname,575991,66.06,15510.4646355856,15036425.7212201,7.48,8.30013357240247,6.65,76,36.7,1,153747,272.35,2020-07-12,15,60.20334971,2019-12-30,2020-03-15,119
Sweden,10183175,87.431,53208.8843603785,6323651.02718331,8.5,9.44597765949572,7.56,33,86.0,1,11936,11623.92,2020-06-26,1566,152.50946097,2019-12-30,2020-02-01,146
Switzerland,8516543,73.797,68060.9410452501,7539503.65156783,8.82,9.23693394326962,8.4,58,59.1,1,80272,28857.99,2020-04-04,1033,168.37678668,2019-12-30,2020-02-26,38
Thailand,69428524,49.949,19051.3333817112,2392656.13235641,6.55,6.2472972417345,6.86,14,81.0,1,60,76053.04,2020-04-03,104,2.38848994,2019-12-30,2020-01-13,81
Timor-Leste,1267972,30.578,7658.43499648981,5526746.47816851,6.76,7.52154508155728,5.99,83,25.7,1,303691,,2020-04-27,0,1.70131156,2019-12-30,2020-03-22,36
Togo,7889094,41.702,1773.89663170619,10583774.9386342,6.31,6.41041624236621,6.21,68,46.8,1,101122,566.29,2020-05-24,10,2.72197758,2019-12-30,2020-03-07,78
Tobago,1389858,53.184,32014.7831311708,14571177.8713879,6.62,6.53850194345348,6.7,74,14.7,1,132534,2525.13,2020-04-04,3,6.52344246,2019-12-30,2020-03-13,22
Tunisia,11565204,68.945,12502.8201886876,8187250.51792643,6.08,5.96897002499522,6.2,64,26.3,1,89882,4274.2,2020-04-07,21,4.14717033,2019-12-30,2020-03-03,35
Turkey,82319724,75.143,28068.8594133348,5902978.81775248,6.21,5.74023931859509,6.67,73,45.6,1,124464,115595.5,2020-04-22,4611,74.97449938,2019-12-30,2020-03-12,41
